"muni_id","municipalities","prov_id"
1,"Abrera                                                                                              ",8
2,"Aguilar de Segarra                                                                                  ",8
3,"Alella                                                                                              ",8
4,"Alpens                                                                                              ",8
5,"L'Ametlla del Vallès                                                                                ",8
6,"Arenys de Mar                                                                                       ",8
7,"Arenys de Munt                                                                                      ",8
8,"Argençola                                                                                           ",8
9,"Argentona                                                                                           ",8
10,"Artés                                                                                               ",8
11,"Avià                                                                                                ",8
12,"Avinyó                                                                                              ",8
13,"Avinyonet del Penedès                                                                               ",8
14,"Aiguafreda                                                                                          ",8
15,"Badalona                                                                                            ",8
16,"Bagà                                                                                                ",8
17,"Balenyà                                                                                             ",8
18,"Balsareny                                                                                           ",8
19,"Barcelona                                                                                           ",8
20,"Begues                                                                                              ",8
21,"Bellprat                                                                                            ",8
22,"Berga                                                                                               ",8
23,"Bigues i Riells                                                                                     ",8
24,"Borredà                                                                                             ",8
25,"El Bruc                                                                                             ",8
26,"El Brull                                                                                            ",8
27,"Les Cabanyes                                                                                        ",8
28,"Cabrera d'Anoia                                                                                     ",8
29,"Cabrera de Mar                                                                                      ",8
30,"Cabrils                                                                                             ",8
31,"Calaf                                                                                               ",8
32,"Caldes d'Estrac                                                                                     ",8
33,"Caldes de Montbui                                                                                   ",8
34,"Calders                                                                                             ",8
35,"Calella                                                                                             ",8
36,"Calonge de Segarra                                                                                  ",8
37,"Calldetenes                                                                                         ",8
38,"Callús                                                                                              ",8
39,"Campins                                                                                             ",8
40,"Canet de Mar                                                                                        ",8
41,"Canovelles                                                                                          ",8
42,"Cànoves i Samalús                                                                                   ",8
43,"Canyelles                                                                                           ",8
44,"Capellades                                                                                          ",8
45,"Capolat                                                                                             ",8
46,"Cardedeu                                                                                            ",8
47,"Cardona                                                                                             ",8
48,"Carme                                                                                               ",8
49,"Casserres                                                                                           ",8
50,"Castellar del Riu                                                                                   ",8
51,"Castellar del Vallès                                                                                ",8
52,"Castellar de n'Hug                                                                                  ",8
53,"Castellbell i el Vilar                                                                              ",8
54,"Castellbisbal                                                                                       ",8
55,"Castellcir                                                                                          ",8
56,"Castelldefels                                                                                       ",8
57,"Castell de l'Areny                                                                                  ",8
58,"Castellet i la Gornal                                                                               ",8
59,"Castellfollit del Boix                                                                              ",8
60,"Castellfollit de Riubregós                                                                          ",8
61,"Castellgalí                                                                                         ",8
62,"Castellnou de Bages                                                                                 ",8
63,"Castellolí                                                                                          ",8
64,"Castellterçol                                                                                       ",8
65,"Castellví de la Marca                                                                               ",8
