"code","regions","re_id","provinces","mun_id","municipalities","poblacion","v_census","t_votes","PP","PSOE","PODEMOS-IU-EQUO","Cs","ECP","PODEMOS-COMPROMÍS-EUPV","ERC-CATSÍ","CDC","PODEMOS-EN MAREA-ANOVA-EU","EAJ-PNV","EH Bildu","CCa-PNC","PACMA","RECORTES CERO-GRUPO VERDE","UPyD","VOX","BNG-NÓS","PCPE","GBAI","EB","FE de las JONS","SI","SOMVAL","CCD","SAIn","PH","CENTRO MODERADO","P-LIB","CCD-CI","UPL","PCOE","AND","JXC","PFyV","CILUS","PxC","MAS","IZAR","UNIDAD_DEL_PUEBLO","PREPAL","Ln","REPO","INDEPENDIENTES-FIA","ENTABAN","IMC","PUEDE","FE","ALCD","FME","HRTS-Ln","UDT","abs_rate","votes_rate","PP_per","PSOE_per","PODEMOS-IU-EQUO_per","Cs_per","ECP_per","PODEMOS-COMPROMÍS-EUPV_per","ERC-CATSÍ_per","CDC_per","PODEMOS-EN MAREA-ANOVA-EU_per","EAJ-PNV_per","EH Bildu_per","CCa-PNC_per","PACMA_per","RECORTES CERO-GRUPO VERDE_per","UPyD_per","VOX_per","BNG-NÓS_per","PCPE_per","GBAI_per","EB_per","FE de las JONS_per","SI_per","SOMVAL_per","CCD_per","SAIn_per","PH_per","CENTRO MODERADO_per","P-LIB_per","CCD-CI_per","UPL_per","PCOE_per","AND_per","JXC_per","PFyV_per","CILUS_per","PxC_per","MAS_per","IZAR_per","UNIDAD_DEL_PUEBLO_per","PREPAL_per","Ln_per","REPO_per","INDEPENDIENTES-FIA_per","ENTABAN_per","IMC_per","PUEDE_per","FE_per","ALCD_per","FME_per","HRTS-Ln_per","UDT_per"
5011,"Catalunya                     ",8,"Barcelona                     ",1,"Abrera                                                                                              ",12071,8907,6269,865,1293,0,899,2142,0,583,279,0,0,0,0,128,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70.38284495340743","70.38284495340743","13.798053916095071","20.625299090764077","0.0","14.340405168288402","34.168128888179936","0.0","9.299728824373904","4.4504705694688145","0.0","0.0","0.0","0.0","2.0417929494337215","0.5104482373584304","0.0","0.0","0.0","0.0319030148349019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5012,"Catalunya                     ",8,"Barcelona                     ",2,"Aguilar de Segarra                                                                                  ",246,200,124,8,1,0,2,13,0,50,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.0","62.0","6.451612903225806","0.8064516129032258","0.0","1.6129032258064515","10.483870967741936","0.0","40.32258064516129","39.516129032258064","0.0","0.0","0.0","0.0","0.0","0.8064516129032258","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5013,"Catalunya                     ",8,"Barcelona                     ",3,"Alella                                                                                              ",9660,7084,4803,694,374,0,609,779,0,1158,1040,0,0,0,0,97,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67.80067758328629","67.80067758328629","14.449302519258797","7.786799916718717","0.0","12.67957526545909","16.219029773058505","0.0","24.109931292941912","21.653133458255258","0.0","0.0","0.0","0.0","2.0195711013949613","0.22902352696231523","0.0","0.0","0.0","0.041640641265875494","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5014,"Catalunya                     ",8,"Barcelona                     ",4,"Alpens                                                                                              ",290,223,164,0,7,0,3,21,0,54,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73.54260089686099","73.54260089686099","0.0","4.2682926829268295","0.0","1.8292682926829267","12.804878048780488","0.0","32.926829268292686","46.34146341463415","0.0","0.0","0.0","0.0","0.6097560975609756","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5015,"Catalunya                     ",8,"Barcelona                     ",5,"L'Ametlla del Vallès                                                                                ",8303,6205,4167,461,298,0,429,818,0,1047,1024,0,0,0,0,56,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67.15551974214343","67.15551974214343","11.063114950803936","7.151427885769139","0.0","10.29517638588913","19.63042956563475","0.0","25.125989920806337","24.57403407727382","0.0","0.0","0.0","0.0","1.343892488600912","0.21598272138228944","0.0","0.0","0.0","0.07199424046076314","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5016,"Catalunya                     ",8,"Barcelona                     ",6,"Arenys de Mar                                                                                       ",15289,11470,7132,835,777,0,524,1418,0,1856,1513,0,0,0,0,135,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.17959895379251","62.17959895379251","11.70779584969153","10.894559730790803","0.0","7.3471676948962426","19.882220975883342","0.0","26.023555804823335","21.214245653393156","0.0","0.0","0.0","0.0","1.8928771733034213","0.14021312394840157","0.0","0.0","0.0","0.056085249579360626","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5017,"Catalunya                     ",8,"Barcelona                     ",7,"Arenys de Munt                                                                                      ",8736,6483,4250,327,372,0,304,777,0,1380,943,0,0,0,0,101,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65.55606972080827","65.55606972080827","7.694117647058824","8.75294117647059","0.0","7.152941176470589","18.282352941176473","0.0","32.470588235294116","22.188235294117646","0.0","0.0","0.0","0.0","2.376470588235294","0.16470588235294117","0.0","0.0","0.0","0.1411764705882353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5018,"Catalunya                     ",8,"Barcelona                     ",8,"Argençola                                                                                           ",223,190,110,9,4,0,3,11,0,53,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57.89473684210527","57.89473684210527","8.181818181818182","3.6363636363636362","0.0","2.727272727272727","10.0","0.0","48.18181818181818","20.0","0.0","0.0","0.0","0.0","2.727272727272727","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5019,"Catalunya                     ",8,"Barcelona                     ",9,"Argentona                                                                                           ",11978,9180,6192,783,671,0,652,1274,0,1463,1163,0,0,0,0,113,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67.45098039215686","67.45098039215686","12.645348837209303","10.83656330749354","0.0","10.529715762273902","20.574935400516793","0.0","23.627260981912144","18.782299741602067","0.0","0.0","0.0","0.0","1.824935400516796","0.22609819121447028","0.0","0.0","0.0","0.14534883720930233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
5020,"Catalunya                     ",8,"Barcelona                     ",10,"Artés                                                                                               ",5665,4168,2606,193,261,0,199,441,0,806,637,0,0,0,0,42,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62.52399232245681","62.52399232245681","7.40598618572525","10.015349194167305","0.0","7.636224098234842","16.922486569455103","0.0","30.928626247122025","24.44359171143515","0.0","0.0","0.0","0.0","1.6116653875671527","0.07674597083653108","0.0","0.0","0.0","0.19186492709132769","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
