,RegionName
0,Abella de la Conca
1,Abrera
2,Àger
3,Agramunt
4,Aguilar de Segarra
5,Agullana
6,Aiguafreda
7,Aiguamúrcia
8,Aiguaviva
9,Aitona
10,Els Alamús
11,Alàs i Cerc
12,L'Albagés
13,Albanyà
14,Albatàrrec
15,Albesa
16,L'Albi
17,Albinyana
18,L'Albiol
19,Albons
20,Alcanar
21,Alcanó
22,Alcarràs
23,Alcoletge
24,Alcover
25,L'Aldea
26,Aldover
27,L'Aleixar
28,Alella
29,Alfara de Carles
30,Alfarràs
31,Alfés
32,Alforja
33,Algerri
34,Alguaire
35,Alins
36,Alió
37,Almacelles
38,Almatret
39,Almenar
40,Almoster
41,Alòs de Balaguer
42,Alp
43,Alpens
44,Alpicat
45,Alt Àneu
46,Altafulla
47,Amer
48,L'Ametlla de Mar
49,L'Ametlla del Vallès
50,L'Ampolla
51,Amposta
52,Anglès
53,Anglesola
54,Arbeca
55,L'Arboç
56,Arbolí
57,Arbúcies
58,Arenys de Mar
59,Arenys de Munt
60,Argelaguer
61,Argençola
62,L'Argentera
63,Argentona
64,L'Armentera
65,Arnes
66,Arres
67,Arsèguel
68,Artés
69,Artesa de Lleida
70,Artesa de Segre
71,Ascó
72,Aspa
73,Les Avellanes i Santa Linya
74,Avià
75,Avinyó
76,Avinyonet de Puigventós
77,Avinyonet del Penedès
78,Badalona
79,Badia del Vallès
80,Bagà
81,Baix Pallars
82,Balaguer
83,Balenyà
84,Balsareny
85,Banyeres del Penedès
86,Banyoles
87,Barbens
88,Barberà de la Conca
89,Barberà del Vallès
90,Barcelona
91,La Baronia de Rialb
92,Bàscara
93,Bassella
94,Batea
95,Bausen
96,Begues
97,Begur
98,Belianes
99,Bell-lloc d'Urgell
100,Bellaguarda
101,Bellcaire d'Empordà
102,Bellcaire d'Urgell
103,Bellmunt d'Urgell
104,Bellmunt del Priorat
105,Bellprat
106,Bellpuig
107,Bellvei
108,Bellver de Cerdanya
109,Bellvís
110,Benavent de Segrià
111,Benifallet
112,Benissanet
113,Berga
114,Besalú
115,Bescanó
116,Beuda
117,Bigues i Riells
118,Biosca
119,La Bisbal d'Empordà
120,La Bisbal de Falset
121,La Bisbal del Penedès
122,Biure
123,Blancafort
124,Blanes
125,Boadella i les Escaules
126,Bolvir
127,Bonastre
128,Es Bòrdes
129,Bordils
130,Les Borges Blanques
131,Les Borges del Camp
132,Borrassà
133,Borredà
134,Bossòst
135,Bot
136,Botarell
137,Bovera
138,Bràfim
139,Breda
140,El Bruc
141,El Brull
142,Brunyola
143,Cabacés
144,Cabanabona
145,Cabanelles
146,Cabanes
147,Les Cabanyes
148,Cabó
149,Cabra del Camp
150,Cabrera d'Anoia
151,Cabrera de Mar
152,Cabrils
153,Cadaqués
154,Calaf
155,Calafell
156,Calders
157,Caldes d'Estrac
158,Caldes de Malavella
159,Caldes de Montbui
160,Calella
161,Calldetenes
162,Callús
163,Calonge
164,Calonge de Segarra
165,Camarasa
166,Camarles
167,Cambrils
168,Camós
169,Campdevànol
170,Campelles
171,Campins
172,Campllong
173,Camprodon
174,Canejan
175,Canet d'Adri
176,Canet de Mar
177,La Canonja
178,Canovelles
179,Cànoves i Samalús
180,Cantallops
181,Canyelles
182,Capafonts
183,Capçanes
184,Capellades
185,Capmany
186,Capolat
187,Cardedeu
188,Cardona
189,Carme
190,Caseres
191,Cassà de la Selva
192,Casserres
193,Castell de l'Areny
194,Castell de Mur
195,Castell-Platja d'Aro
196,Castellar de la Ribera
197,Castellar de n'Hug
198,Castellar del Riu
199,Castellar del Vallès
200,Castellbell i el Vilar
201,Castellbisbal
202,Castellcir
203,Castelldans
204,Castelldefels
205,Castellet i la Gornal
206,Castellfollit de la Roca
207,Castellfollit de Riubregós
208,Castellfollit del Boix
209,Castellgalí
210,Castellnou de Bages
211,Castellnou de Seana
212,Castelló d'Empúries
213,Castelló de Farfanya
214,Castellolí
215,Castellserà
216,Castellterçol
217,Castellvell del Camp
218,Castellví de la Marca
219,Castellví de Rosanes
220,El Catllar
221,Cava
222,La Cellera de Ter
223,Celrà
224,Centelles
225,Cercs
226,Cerdanyola del Vallès
227,Cervelló
228,Cervera
229,Cervià de les Garrigues
230,Cervià de Ter
231,Cistella
232,Ciutadilla
233,Clariana de Cardener
234,El Cogul
235,Colera
236,Coll de Nargó
237,Collbató
238,Colldejou
239,Collsuspina
240,Colomers
241,La Coma i la Pedra
242,Conca de Dalt
243,Conesa
244,Constantí
245,Copons
246,Corbera d'Ebre
247,Corbera de Llobregat
248,Corbins
249,Corçà
250,Cornellà de Llobregat
251,Cornellà del Terri
252,Cornudella de Montsant
253,Creixell
254,Crespià
255,"Cruïlles, Monells i Sant Sadurní de l'Heura"
256,Cubelles
257,Cubells
258,Cunit
259,Darnius
260,Das
261,Deltebre
262,Dosrius
263,Duesaigües
264,L'Escala
265,Esparreguera
266,Espinelves
267,L'Espluga Calba
268,L'Espluga de Francolí
269,Esplugues de Llobregat
270,Espolla
271,Esponellà
272,Espot
273,L'Espunyola
274,L'Esquirol
275,Estamariu
276,L'Estany
277,Estaràs
278,Esterri d'Àneu
279,Esterri de Cardós
280,Falset
281,El Far d'Empordà
282,Farrera
283,La Fatarella
284,La Febró
285,Figaró-Montmany
286,Fígols
287,Fígols i Alinyà
288,La Figuera
289,Figueres
290,Figuerola del Camp
291,Flaçà
292,Flix
293,La Floresta
294,Fogars de la Selva
295,Fogars de Montclús
296,Foixà
297,Folgueroles
298,Fondarella
299,Fonollosa
300,Font-rubí
301,Fontanals de Cerdanya
302,Fontanilles
303,Fontcoberta
304,Foradada
305,Forallac
306,Forès
307,Fornells de la Selva
308,Fortià
309,Les Franqueses del Vallès
310,Freginals
311,La Fuliola
312,Fulleda
313,Gaià
314,La Galera
315,Gallifa
316,Gandesa
317,Garcia
318,Els Garidells
319,La Garriga
320,Garrigàs
321,Garrigoles
322,Garriguella
323,Gavà
324,Gavet de la Conca
325,Gelida
326,Ger
327,Gimenells i el Pla de la Font
328,Ginestar
329,Girona
330,Gironella
331,Gisclareny
332,Godall
333,Golmés
334,Gombrèn
335,Gósol
336,La Granada
337,La Granadella
338,Granera
339,La Granja d'Escarp
340,Granollers
341,Granyanella
342,Granyena de les Garrigues
343,Granyena de Segarra
344,Gratallops
345,Gualba
346,Gualta
347,Guardiola de Berguedà
348,Els Guiamets
349,Guils de Cerdanya
350,Guimerà
351,La Guingueta d'Àneu
352,Guissona
353,Guixers
354,Gurb
355,Horta de Sant Joan
356,L'Hospitalet de Llobregat
357,Els Hostalets de Pierola
358,Hostalric
359,Igualada
360,Isona i Conca Dellà
361,Isòvol
362,Ivars d'Urgell
363,Ivars de Noguera
364,Ivorra
365,Jafre
366,La Jonquera
367,Jorba
368,Josa i Tuixén
369,Juià
370,Juncosa
371,Juneda
372,Les
373,Linyola
374,La Llacuna
375,Lladó
376,Lladorre
377,Lladurs
378,La Llagosta
379,Llagostera
380,Llambilles
381,Llanars
382,Llançà
383,Llardecans
384,Llavorsí
385,Lleida
386,Llers
387,Lles de Cerdanya
388,Lliçà d'Amunt
389,Lliçà de Vall
390,Llimiana
391,Llinars del Vallès
392,Llívia
393,El Lloar
394,Llobera
395,Llorac
396,Llorenç del Penedès
397,Lloret de Mar
398,Les Llosses
399,Lluçà
400,Maçanet de Cabrenys
401,Maçanet de la Selva
402,Madremanya
